review	label
서울낙업 데이트하기좋은 분위기 좋은 맛집이였어요 다 커플들이라서 조용히 대화하며 맛있고 가성비 좋은 메뉴 먹으면서 편한 시간 되었어요. 재방문의사 당연히 만땅이고요 즐거웠어요	0
매달 오는 곳인데 이번엔 모임이 아닌 생일이라 친구랑 왔어요. 너무 자주 오는 좋아하는 곳이라 데리고 왔는데 좋아하는 메뉴가 크게 없음에도 역시 음식에 만족하네요 밀푀유나베나 나가사끼 짬뽕이나 해물짬뽕 등 탕류는 기본 맛있구요 그외 안주도 퀄리티 당연히 좋아요 직원들 친절함에 무조건 재방문하는 곳이네요 생일날 마지막 일정을 기분 좋게 마무리해서 좋아요 번창하세여	0
삼겹 스테이크 너무 맛있었고 불고기 필라프도 너무 맛있었어요 너무너무 추천합니다	0
새벽 감성에 취해 우울했는데 24시간 맛집이 있어서 다행이에요 늦은 시간에 먹는 야식은 왜 이렇게 맛있는 걸까요	0
맛있게 잘 먹었습니다! 속이 뻥 풀리네요	1
반찬 더 달라고 벨 눌렀는데 직원분이 한숨 쉬면서 오시네요 제가 공짜 밥 얻어먹는 것도 아닌데 눈치 보임	0
창가 쪽에 먼지가 수북하게 쌓여있음 청소를 언제 한 건지 모를 정도로 더러워서 옷 버릴 뻔함	0
그냥 오늘 하루가 씨발 소리 나올 정도로 힘들었는데 퇴근 후 마시는 시원한 생맥주랑 노가리가 제 인생을 살렸네요!!	1
여자친구랑 100일 기념으로 갔는데 케이크에 촛불 켜주시는 이벤트 덕분에 여자친구가 너무 감동받아서 울었어요 ㅠㅠ 감사합니다	0
처음 와봤는데 디저트가 맛있고 커피랑도 잘 어울려서 곁들여서 같이 먹기 좋았습니다 또 공간이 넓어서 쾌적하고 분위기도 좋아서 여러 명끼리 와도 부족함없이 편안하게 즐길 수 있었습니다	0
머리 새로 했는데 망해서 진짜 짜증 났거든요.. 근데 맛있는 샤브샤브 먹으면서 수다 떠니까 좀 잊혀지네요ㅠㅠ	1
숙성회 너무 맛있고 분위기도 너무 좋아요 직원분도 너무 친절하셔서 기분좋게 술먹고 갑니다 건대에서 회 드시면 여기 추천이에요! 굿굿	0
시험 망치고 세상 다 잃은 표정으로 들어왔는데 서비스로 주신 음료에 감동받았어요 따뜻한 배려 덕분에 우울함 털고 일어납니다	0
내가 안 한 일로 오해받아서 억울하고 분했는데 이 집 수제 초콜릿 먹고 기운 냈습니다ㅠㅠ	1
주차할 곳 없어서 골목길 뱅뱅 돌다가 폭발하기 일보 직전이었는데 여기 커리 향기 맡자마자 무장해제 됐어요.	1
육아 스트레스 만땅이었는데 남편한테 애 맡기고 나와서 먹으니 꿀맛이네요 잠깐의 자유지만 맛있는 음식과 함께라 더 행복했어요	0
거울 보는데 나이 든 것 같아 갑자기 우울해졌다가 싱싱한 샐러드 먹고 다시 생기를 찾았습니다.	1
가슴이 답답해서 뻥 뚫리는 맛을 찾았는데 진짜 속이 다 시원해지는 맛이에요 땀 흘리며 먹다 보니 잡념이 사라졌어요	0
거래처에서 갑질 당하고 서러워서 울컥했는데 퇴근하고 먹은 삼겹살이 너무 고소해서 기분이 다시 좋아졌어요.	1
재방문입니다! 다시 와도 너무 맛있네요 단체로 방문하실 분들은 주말에는 예약하는 것을 추천드립니다. 직원분들도 다들 친절해서 더 기분 좋게 식사하였습니다.	0
주말 출근 실화냐고요.. 짜증 가득 안고 점심 먹으러 왔는데 돈가스 고기 두께 보고 화가 쏙 들어갔네요ㅋㅋ	1
디저트 맛있구 커피도 맛있어용!??	0
