review	label
짱맛. 힘들때 꼭 먹는 먹으러와요. 포장도 많이하고 배달도 많이 먹습니다. 야채곱창과 데리야끼 강추. 가성비 갑??	0
남자친구랑 방문했는데 너무 만족스러워요 칵테일 종류도 다양하고 직원분들도 치절하셔서 재방문 의사 있어요	0
고기 질이 좋고 맛있어요! 매장도 넓고 깔끔하네요	0
비 오는 날 양말 젖어서 찝찝함의 극치였는데 얼큰한 부대찌개 국물 한 모금에 모든 게 용서되는 맛이었습니다.	0
나베 양이 진짜 많아요. 그리고 소주 잔 고를 수 있는 메리트는 진짜 좋은 것 같아요.. 매장 분위기도 짱짱맨 웨이팅이 있었지만 다른 곳에서 놀다보니 금방 들어왔네요.	1
주말 오후에 갔는데 주방에 남자직원 한 명이 손님응대가 최악이에요 계산 실수해서 취소해야하는데 고객센터에 연락하라 하고 연락하니까 매장에서 취소하는게 맞다고 하고 모르면 모른다고 하면 될텐데 집에가서 봤으면 더 번거로워질뻔하고 사과도 안 하고 짜증내면서 일 하고요 사장님은 알바 관리가 필요할거 같아요	0
벨을 다섯 번을 눌러도 직원이 안 와요 바쁜 건 알겠는데 홀 응대가 전혀 안 되는 듯	0
올드카 동호회 정모라 주차장 넓은 곳 찾다가 발견했는데 사장님이 차 구경도 같이 해주시고 안주도 일품이라 다들 신났네요	1
그냥 이유 없이 꿀꿀한 날이었는데 달콤한 마카롱 한 입에 기분이 사르르 풀리네요 당 충전이 시급했나 봐요	0
분위기 좋은 곳에서 좋은 대화하고 갑니다 아끼는 사람들과 자주 방문하는 곳입니다 소고기 나베 정말 맛있어서 추천 드려요	0
안주도 엄청 맛있고 직원분들도 다들 너무 친절해서 좋았어요!! 매장도 넓어서 단체로 오기 좋더라구요 특히 안주 맛도 맛이지만 가성비가 좋아서 꼭 추천드려요!!	1
데이트로 이자카야 야끼소바 너무 좋다	0
오늘따라 신발 끈 자꾸 풀리고 짜증 유발하는 일만 생겼는데 달달한 초코 빙수 한 그릇에 평온해졌어요.	0
직원분들 다 친절하세요! 막창 엄청 실하고 술 잘 들어갑니다 깔끔해서 좋네요. 번창하세요	1
회사 부서원들이랑 연말 분위기 내러 왔는데 코스 요리가 정갈하게 잘 나와서 다들 대접받는 기분이라고 좋아하셨어요	1
보조배터리 안 들고 나와서 폰 꺼지기 직전이라 불안하고 화났는데 갓 튀긴 핫도그 하나 먹고 세상 태평해졌습니다.	0
취미 카페 정모 장소로 예약했는데 사장님이 친절하게 안내해주시고 음식도 깔끔하게 잘 나왔습니다	1
거래처 담당자 멍청한 소리 때문에 혈압 올라 죽는 줄 알았는데 칼칼한 김치찜 먹고 속풀이 제대로 했어요.	0
친구들과 약속 잡고 갔는데 분위기도 좋고 쭈꾸미가 탱글탱글해서 만족했어요 매운맛 단계 선택도 가능해서 누구와 가도 문제 없어요 마무리 볶음밥까지 완벽했네요	1
맛있었어요 데이트하는데 좋은 느낌 받았습니다 다음에 떠올게여	0
세번째 방문인데 몰리서도 올만 하네요 오늘은 카레나베 먹었는데 밥이 땡겨요 저번은 안주가 너무 맛있어서 소주 한병도 못먹었어요 진짜 강츄 입니다 .	1
회전 레일 덕분에 편하게 앉아서 다양한 재료를 골라먹을 수 있어요! 신선한 야채와 고기가 계속 돌아와서 선택의 재미가 정말 쏠쏠하군요	0
가게 인테리어도 예쁘고 음식 너무 맛있어요 이거 먹으러 대구에서 왔어용!!!	0
음료수 컵 안쪽에서 비린내가 진동을 함 설거지를 물로만 헹구는 건지 찝찝해서 못 마시겠음	0
데이트 하기 딱!!! 좋은 요비 가성비 넘치는 2인 오마카세로 맛있게 먹고 왔어요	0
마싯어요!! 2차로 대화하기 좋아요 찾고 데이트하기에 좋을 거 같아요	0
책상에 물 쏟아서 서류 다 젖고 멘붕이었는데 쫀득한 마카롱 한 입에 짜증이 싹 사라졌습니다ㅎㅎ	0
시부모님이랑 같이 식사하는 자리라 조용한 룸 식당 찾았는데 방음도 잘 되고 코스 요리 구성이 알차서 칭찬받았어요^^	0
데이트나 소개팅하기 너무 좋아요 맛있고 분위기 좋아요	0
게임 길드 정모라 전국에서 20명 모였는데 사장님이 모니터 근처 명당으로 자리 잡아주셔서 정모 분위기 제대로 내고 왔네요	1
회사 송년회 장소로 선택했는데 분위기부터 음식 맛까지 나무랄 데 없어서 내년에도 여기서 하자는 의견이 많네요	1
오픈 주방이라 믿었는데 요리하면서 마스크 안 쓰고 계속 기침함 더러워서 입맛 뚝 떨어짐	0
친구들이랑 오랜만에 모이는거라 술집 찾던 중 발견해서 왔는데 너무 좋아여 분위기도 좋고 무엇보다 안주가 느무 맛있어서 소주 3병 가능한 술집입니댜..??????	1
벌써 두 번째 방문입니다! 이렇게 맛있는 양식을 파는데 소주와 함께 먹을 수 있다니 너무나 행복한 일이 아닐 수 없네요. 지난번에 왔을 땐 올리브 아이스크림도 먹고 사이드 많이 먹었는데 오늘 1차로 와서 많이 먹으려고 메인 메뉴부터 주문했습니다! 사장님 너무 친절하시구요. 너무 맛있어서 사진을 못찍었는데.. 콥샐러드 정말 맛있어요 소주랑 같이 먹기 정말 짱입니다. 그리고 화장실 청결은 말해 뭐예요!! 너무 깨끗합니다!! 사장님 저희를 단골로 받아 주세요? 너무 맛있게 잘 먹었습니다. 다음에 또 가겠습니다. 행복한 추석 명절 보내세요.	1
대학 선후배들이랑 오랜만에 모이는 자리였는데 안주 구성이 알차서 다들 배불리 먹고 기분 좋게 헤어졌어요	1
동창회 2차 장소로 왔는데 마른안주 구성도 좋고 맥주도 시원해서 마무리까지 완벽한 모임이었어요	1
서빙하시는 분 손톱이 너무 길고 화려해서 음식에 닿을까 봐 조마조마했습니다 위생 관념 좀..	0
덮밥 소스가 너무 짜서 밥 추가했는데 추가 요금 받음 애초에 간을 잘 맞추시던가	0
가족들이 조아해서 항상 오는 맛집입니다!	0
어제 친구랑 오해 생겨서 잠 한숨도 못 자고 짜증 가득이었는데 여기 브런치 비주얼 보고 기분 사르르 녹아버렸네요~	0
우왕 진짜 다 맛있고 직원분들이 친절하셔서 좋아요!! 추천합니당	0
기본은 지켰으면 합니다  ✅위생❌(직원 유니폼,수저,후추통,바닥 휴지) ✅서비스❌ -제 미나리를 바닥에 흘리시고 일언반구 없이 그냥 가시네요 주우시기라도 하시지 -손님상 앞에서 통화를 하시나요? 제가 직원분들 통화들으러 여기 온거 아닙니다. -추가 메뉴를 그냥 테이블에 툭두고 가요 여기 있는내내 무시받는거 같았습니다. ✅맛 제 입맛엔 아니네요 짜글이,김치볶음밥 다 남기고왔어요 ✅가격/양 둘이서 냉삼5인분 시켰습니다 총750g이겠죠? 거짓말안하도 아주 아주 배고팠습니다.  평일 오후 5-6시쯤 방문했음에도 재료소진으로 생삼겹이랑 내장탕 주문이 불가하다고 합니다.  메뉴 종류도 별로 없는데 말이 됩니까?  김치볶음밥 호일안에 냉동된거 불판에 해동시켜서 줍니다. 너무 충격이었어요. 	0
이대 정문 골목에 이런 멋진 곳이 생긴지 몰랐어요! 오랜만에 생일 모임으로 왔는데 특별한 음식들을 먹으면서 추억을 즐길 수 있었어요! 식전 뱅쇼도 새롭고 음식 맛도 다양하고 비주얼도 좋네요!	1
이번에 새로 창단한 축구팀 창단식 하려고 대관했는데 공간이 넓어서 유니폼 입고 다 같이 사진 찍기에도 너무 좋았어요	1
많이와도 항상 질리지 않거 맛있게 먹을수있어서 좋아요	0
부서 이동하기 전 마지막 회식이라 의미 있는 자리였는데 분위기도 고급스럽고 음식도 정갈해서 기분 좋게 마무리했습니다	1
