review	label
데이트 하기 너무 좋고 대화하기도 편해요 프라이빗하고 직원분들도 친절하세요!	0
사장님 맛있어요!!!! 단골될거같아요!!!!자주놀러올게요! 회식장소로도 너무좋고 음식도 분위기도 너무좋아요! 이...하찮은..이거 제스타일이에요	0
아침부터 지하철 빌런 만나서 기분 완전 꽝이었거든요.. 근데 이 달달한 아이스 바닐라 라떼 한 잔에 세상이 다시 아름다워 보여요ㅋㅋ	0
꾸덕한 치즈 케이크 한 조각이면 우울증 치료 끝 입안 가득 퍼지는 진한 풍미에 정신을 못 차리겠어요	0
고기 질이 너무 좋아요!! 자주 오겠습니다! 잘먹었어요!	1
파스타 면 삶기가 엉망이라 심지가 다 씹힘 알단테가 아니라 그냥 덜 익은 거임	0
매장 음악 소리가 너무 커서 클럽 온 줄 알았음 대화가 불가능해서 빨리 먹고 나감	0
처음 가봤는데 시스템이 편해서 좋았어요 재료 고르는 재미도 있고 국물은 깔끔한데도 풍미가 깊어서 한 입 먹을 때마다 놀랐어요 다음에 또 올 듯	1
남진친구와 오랜만에 이자카야 데이트하러 갔다왔어요! 제가 좋아하는 곳인데 같이가니 더 좋더라구요 친절하시고 음식 맛있습니다	0
조용하게 시작한 독서 모임이었는데 안주가 너무 맛있어서 나중에는 다들 책 덮고 안주 찬양하는 토론만 3시간 했네요!!	0
맛있고 가성비에 좋아용	1
이번에 자격증 합격한 스터디원들 축하 파티 하러 왔는데 사장님이 화력 조절도 잘 해주시고 다들 배불리 대접받는 기분이었어요	0
겉바속촉 돈까스 한 입에 세상 다 가진 기분 바삭한 소리가 우울함을 깨부수네요	0
매콤해서 정신이 확들고요. 피자도 맛있었어요	1
용가 자전 훠궈 처음 가봤는데 생각보다 너무 맛있었어요. 국물이 진하고 얼얼한 맛이 제대로라서 중국식 훠궈 좋아하시는 분들께 추천해요. 재료도 신선하고 고기 질도 좋았고, 소스도 다양해서 조합하기 좋았어요. 직원분들도 친절해서 전체적으로 만족스러운 식사였습니다. 다음에 또 방문할 생각이에요.	1
비 오는 날엔 역시 뜨끈한 수제비죠 쫄깃한 반죽 씹는 맛에 우울한 기분도 쫀득하게 달라붙어 사라지는 듯	0
이벤트있어서 좋아용 석류에이드 맛있어용 직원이 친절해용	1
매운 갈비찜 먹고 땀 쫙 빼니까 사우나 다녀온 것처럼 개운해요 스트레스엔 역시 이만한 게 없네요	0
부모님께서 양꼬치 먹어보고 싶다고 하셔서 모시고 왔는데 가성비 괜찮은거 같습니다. 아이도 잘먹고 요리들도 가성비	1
동호회 정기 산행 후에 먹는 오리 주물럭은 진짜 예술이네요 양도 많고 볶음밥까지 완벽했습니다	0
맛도 좋고 작원분들 서비스 좋고 풍족하게 먹을 수 있어요 추천합니다	1
헬스장 가기 싫어서 짜증 가득한 상태로 왔는데 여기 샐러드 파스타가 너무 맛있어서 운동할 기분 나네요ㅋㅋ	0
이유 없이 사람 차별하는 상사 때문에 회사 때려치우고 싶었지만 여기 매운 짬뽕 국물에 스트레스 다 쏟아붓고 왔습니다.	0
닭볶음탕 닭에서 냉동실 냄새 너무 심하게 나요 양념으로도 안 가려지는 묵은내	0
부서 간에 오해 풀려고 마련한 자리였는데 고기가 워낙 맛있으니까 다들 먹으면서 자연스럽게 화해하고 형 동생 하며 나갔습니다	0
모임을 위해 룸으로 예약해서 방문했어요. 분위기가 고급스럽고 음식이 서빙될 때마다 자세한 설명과 함께 즐겁게 식사했어요. 음식도 흔하지 않은 고급진 비주얼과 맛으로 참석하신 모든 분들이 만족했습니다.	0
상사한테 깨지고 홧김에 매운 거 시켰는데 땀이랑 같이 스트레스가 다 배출된 기분이에요 아주 개운합니다	0
산악회 회원들이랑 하산하고 들른 곳인데 도토리묵이랑 파전 맛이 일품이라 피로가 싹 가시는 기분이었습니다ㅋㅋ	0
친구가 대구에 있는 본점에서 연막창을 먼저 먹어보고 추천해줘서 같이 오게 되었는데 기대 이상으로 너무 맛있어요 다음에 다른 친구들도 데리고 와서 재방문 할 계획 100000입니다.	0
피자는 처음 먹어보는데 피자도 맛있었습니다! 음식이 전부 맛있어요	1
웨이팅이 있지만 그래도 맛있고 배부르게 먹고왔어요!! 꿔바로우 퀄리티도 생각보다 괜찮아서 놀랬네요!!	1
커피 자판기 입구가 너무 지저분해서 커피 마실 생각 싹 사라짐 평소 위생 상태가 눈에 훤함	0
샐러드도 신선하고 리조또도 맛있어요 이탈리안 땡기면 자주와야겠어요	1
넘맛있고 고기도 신선하고 반찬도 깨끗해요 적극추천해요	1
여러 육수 중에서 반반으로 선택할 수 있어서 편리합니다. 사골육수는 깔끔하고 마라육수는 적당한 매운맛이 좋네요. 소스가 다양해서 취향에 맞게 조합할 수 있고 전반적으로 만족스러운 맛이었습니다.	1
인상적인 곳이에요. 훠궈와 삼겹살, 닭고기, 김치를 구이용 판에서 함께 구워먹을 수 있어 한국인 입맛에 딱 맞네요.	1
치킨이 덜 익어서 핏물이 보이는데 핑킹현상이라고 우기면서 그냥 먹으라고 함 비위 상해서 나옴	0
짬뽕에 해물이라곤 홍합 껍데기만 잔뜩이고 알맹이는 몇 개 없네요 국물 맛도 텁텁함	0
맛있게 먹었어요 친구랑 왔는데 너무 좋대요. 다시 방문하겠습니당.	0
늦은 밤 야식의 유혹을 뿌리치지 못했지만 후회는 없어요 맛있게 먹으면 0칼로리라는 말을 맹신하게 되는 맛	0
시간이 오래 지나 스타일이 살짝 맛도 살짝 변하긴 했지만 여전히 아주대 맛집 1위. 짜고 매운 극라맨 3단계는 스트레스 해소에 아주 좋은 라멘임에는 틀림없다. 여기에 차슈추가해서 밥싸먹고 국물에 밥 말아 여기에도 올려먹음 극락의 맛	0
매운맛 시켰는데 하나도 안 맵고 캡사이신 쓴맛만 남 맛이 없음 그냥	0
매장 분위기도 너무 좋고 음식도 맛있어요!! 양식 끌리는데 개성있는 공간과 함께 하고 싶으시다면 강추합니다! 세트 메뉴도 있어서 가성비도 좋아요!	1
첫방문입니다 우연히 방문했는데.. 음식이 정갈하고 맛이 있어요 면이 부드럽고 쫀득하고 양도 넉넉합니다 특히 일본여행을 많이 다녀본 대학생 아들이 너무 만족스럽게 식사했습니다 영수증요청만 드렸는데 센스있게 ??튀김 먼저 주시네요 재방문??	1
다이어트 중인데 몸무게 안 빠져서 신경질 났다가 오늘 치팅데이라 먹은 족발에 광명 찾았습니다.	0
음식 다양하게 많고 샤브샤브가 메인이기 보다는 뷔페음식이 메인같고 정말 맛있었습니다. 사람 엄청많아서 깜짝놀랐어요 음식들이 다 퀄리티 너무 좋고 맛있어요	1
