review	label
다이어트 하느라 풀만 먹다가 고기 먹으니 눈이 번쩍 뜨이네요 역시 사람은 단백질을 섭취해야 성격이 좋아지나 봐요	0
고등학교 동창 녀석들이랑 청첩장 모임 하러 왔는데 안주 양도 많고 술 종류도 다양해서 각자 취향껏 즐기며 축하해줬습니다	0
와 이게 진짜 무한리필의 진수구나! 회전 레일로 신선한 야채랑 고기가 계속 돌아와서 골라먹는 재미가 쏠쏠해. 직접 가져올 필요 없으니 편하고 선택지도 엄청 다양함. 정말 만족스러운 식사였어	0
스트레스 타파용 최고!	0
가족모임 했어요. 룸으로 되어있어서 조용하게 식사할 수 있고 룸에서 창밖 뷰가 보여서 좋았어요. 음식도 하나하나 맛이 좋습니다. 재방문 의사 있어요	1
커피 자판기 위생 상태가 엉망임 먼지 쌓여있고 입구 지저분해서 안 마심	0
주문한 지 40분이 지났는데 주문 들어갔냐고 물어보니 그제야 포스기 찍으시네요 시간만 버림	0
항상 아이와 오는 곳이에요 맛있어요	1
혼자 먹어도 전혀 어색하지 않은 분위기라 편하게 즐겼어요 프로 혼밥러의 성지가 될 것 같네요	0
처음 방문했는데 음식도 넘 맛있고 가격도 비싸지 않아서 자주 갈 것 같아요! 같이 간 친구들도 다 만족했습니다! 직원분들도 너무 친절하십니다!! 모임 장소로 추천합니당	0
데이트하기 좋아요	1
동호회 회원들이랑 운동 끝나고 들렀는데 매장도 깔끔하고 테이블 붙여주셔서 대인원인데도 불편함 없이 잘 먹고 갑니다	0
뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라뒤져라	0
방문할 때마다 만족하고가는 곳입니다 조용한 분위기에 엔틱한 인테리어 두툼한사시미 친절한 직원분까지 너무좋은곳입니다 다들 건대오셧을때 방문해보세요!	1
우선 외관부터 유럽 감성의 저택 같은 느낌이라 들어가는 순간 기분이 좋아지고, 매장 안쪽에 통나무가 자리 잡은 인테리어가 꽤 인상적네요 자리도 넓고 2층까지 있어 데이트나 모임 장소로 괜찮은것같아요	1
컴퓨터 갑자기 멈춰서 작업물 다 날리고 멘붕이었는데 여기 매운 떡볶이가 제 정신 번쩍 들게 해줬어요!!	0
재료가 신선하고 인테리어도 깨끗하고 좋아요 가족끼리오기도 좋네요 아이들도 좋아해요	1
친구랑 사소한 오해로 다투고 답답한 마음에 혼자 소곱창 먹으러 왔는데 기름진 고소함에 화난 것도 잊어버렸네요.	0
분위기도 좋고 맛도 있었어요 데이트하기 좋은 곳입니당	1
친구들 모임으로 왔는데 맛최고 신선최고에요 꼭 건대오면 들리세용!!!	0
데이트로 오마카세 싸게 먹고 가요	1
고기가 신선하고 맛있어요. 추천합니다.	0
직원도 친절하시고 가성비가 진짜 좋아요 짱!!!	0
피자 도우가 덜 익어서 밀가루 반죽 맛이 그대로 남 토핑도 부실하고 냉동피자가 훨씬 맛있겠음	0
전국 여행 동호회 번개 모임으로 갑자기 20명 모였는데 사장님이 순발력 있게 자리 만들어주셔서 기다림 없이 즐거운 파티 했습니다	0
처음 가봤는데 찐 이자카야인 거 같아요 음식들 너무 맛있고, 저희가 꽤 오래 머물렀는데 직원분들 다 아주 친절하게 응대해주셔서 기억에 많이 남습니다. 또 가게 될 것 같아요 잘 먹었습니다	0
홍대에서 24시간 영업하는 국밥 맛집 보승회관 홍대직영점 뼈해장국은 국물 녹진하고 고기도 푸짐해서 해장용으로 완전 최고였구요 순대국은 잡내 1도 없고 깔끔해서 밥 말아 먹기 딱 좋아요 삼계탕은 은은한 한약재 향에 국물 진해서 몸보신용으로 굿 매운 직화 무뼈 닭발은 진짜 매콤하고 쫄깃해서 스트레스 풀리는 맛이에요 반찬들도 하나같이 정갈해서 만족도 높았어요!	0
오랜만에 친척들하고 모임 가졌는데 연길왕꼬치 매장이 넓어서 좋았어요. 아이들이랑 같이 가도 편안하고 서비스 만두도 주셔서 다들 만족했어요!	0
다같이 왔는데 너무 좋네요	0
아이들이 햄버거 먹고 싶다고 노래를 불러서 수제버거집 왔는데 패티 육즙이 장난 아니네요.. 어른들이 더 맛있게 먹음 ㅋㅋ	1
음식 빨리 나오는데 맛도 있네요, 친절하게 응대해주셔서 감사합니다!	1
물컵에서 비린내 나서 물도 못 마셨어요 설거지 상태 최악입니다	0
술한잔 하기 좋은 이자카야. 분위기 좋고 데이트하기도 괜찮은 곳. 사시미와 메로구이 둘다 만족스러움.	1
너무 좋고, 공간도 프라이빗해서 데이트하기 딱 좋은 것 같아요!!!	1
연인끼리 데이트 하기 좋아요!	1
재밌고 맛있는 곳 아들이랑 데이트 했어요	1
반찬 리필해달라고 하니까 주방 쪽 보면서 한숨 쉬는 거 다 봤습니다 먹다가 눈치 보여서 원	0
고기가 질겨서 턱 나가는 줄 알았습니다 고무타이어 씹는 식감임	0
그냥 동네 친구들이랑 편하게 슬리퍼 끌고 모였는데 매장이 넓어서 오래 앉아 수다 떨어도 눈치 안 보이고 참 편안한 아지트 같은 곳입니다	0
배달 2시간 걸려서 취소하려다 받았는데 한 입 먹자마자 기다린 시간 다 보상받는 기분이라 화 다 풀렸어요~~	0
두번째 방문인데 넘 맛있고 가성비 너무 조아오	0
서빙할 때 그릇을 탁탁 던지듯이 내려놓는데 싸우자는 건가 싶었음 밥 먹기 전부터 기분 잡침	0
맛있는 음식과 좋은 분위기 친절한 서비스 아주 좋았습니다!! 까탈스런 여친도 만족쓰!!	1
어버이날이라 부모님 모시고 한정식집 왔는데 반찬 하나하나 정성이 느껴져서 대접받는 기분 제대로 들었어요~	1
꼬치숫자좀 보세요!!!맛있어서 엄청먹었습니다	0
음식도 맛있고 야외테이블 있어서 요즘같은 날씨에 가기 좋아요! 데이트 장소로 추천해요	1
익명 오픈채팅방 정모로 처음 얼굴 보는 자리였는데 매장이 넓고 분위기가 편안해서 서먹함 없이 금방 친해졌습니다	0
남친이랑 데이트할겸 점심먹으러 다녀왔어요! 아브뉴프랑에 있어서 주차하기도 편하고 매장도 깔끔하니 인테리어도 아늑해요 무엇보다 음식도 하나같이 정갈하고 맛있어서 든든하게 먹었네요!! 개인적으로 보리굴비가 진짜 넘 맛있었어요?? 음식 여러가지 맛보고 식사까지 잘 먹었네요 담에 모임있을 때 수원 한정식 먹으러 친구들하고도 또 방문해야겠어요??	1
오랜만에 칼질하러 왔는데 스테이크가 입에서 살살 녹네요 돈 쓴 보람이 느껴지는 고급진 맛	0
친구랑 데이트하러 왔어요 ! 깨끗하고 이야기 하기 좋은 이자카야에요!	1
족발이 차갑게 식어서 딱딱하고 돼지 누린내가 진동을 합니다 데워주지도 않고 성의가 너무 없네요	0
2인 세트를 주문했는데 구성이 다양해서 여러 가지 메뉴를 맛볼 수 있어 좋았습니다. 음식 하나하나 모두 너무 맛있어서 만족도가 높았어요! 매장 분위기도 적당히 아늑하고 시끄럽지 않아 대화하기 좋았고, 화장실도 매장 안에 있어 편리했습니다. 꼭 다시 방문하고 싶어요 !!!	1
가족 모임 장소로 딱이었어요. 넓고 깔끔한 매장 덕분에 아이들과 편안하게 식사했네요. 양꼬치 고기 질도 훌륭해서 부모님도 만족하셨습니다!	1
맛잇고 양도 많아요. 메뉴 3개 시켰는데 다 못먹었습니다 추천해요	0
맛있고 데이트 하기 딱이에요	1
첫 방문이었는데 직원분들이 정말 친절하셨어요 세트로 주문하니 음식이 다양하게 나와서 먹는 재미도 있었고, 공간도 아늑해서 전체적인 분위기가 너무 좋았습니다 커플끼리 방문하기에도 딱 좋을 것 같아요! 웨이팅하면 하이볼도 한 잔 무료로 주신다니 완전 강추합니다	1
다시 온 웨스트 사이드 도너츠 집!! 너무 맛있고 분위기도 좋아서 친구들끼리 와서 간단히 요기하기 너무 좋아용!! 담에도 또 재방문 할께요	0
가성비 오마카세라는 영상을 인스타에서 봐서 데이트 왔어요. 맛있네요.	1
일단 음식이 너무 맛있고 분위기도 너무좋아서 데이트하기 좋아요	1
음식맛도 넘 좋고 직원들도 넘 친절해요	0
이렇게까지 일본 분위기인 이자카야는 처음 와봤어요! 인테리어도 이쁘고 분위기랑 노래도 좋아요. 가성비 오마카세가 있다고 해서 부모님 생신에 모시고 왔는데 부모님은 이런 곳 처음 와보시고 드셔보셔서 신기해하시고 만족하셨어요. 다음엔 여자친구 데리고 데이트 오려구요!	1
샐러드 채소가 갈변해서 흐물흐물한데 이걸 돈 받고 파시는 건가요 양심 불량임	0
모든메뉴가 특별하고 맛있었습니다. 할머니와 엄마 초등 아들들과 행복한 데이트시간 되었네요	1
배달로 먼저 먹어보고 매장 방문했는데 확실히 매장 음식이 더 맛있네요 양도 푸짐하고 반찬 리필도 편해서 든든하게 먹었습니다 직원분들 서비스가 좋았어요 ??	0
메뉴 하나하나 비주얼 쩔어요! 맛도 좋고 커튼 룸으로 되어 있어서 데이트에 너무 좋아요	1
여행 갔는데 비만 내려서 너무 화나고 속상했지만 숙소 근처 맛집에서 먹은 갈치조림이 환상이라 잊게 됐네요.	0
맛잇어요 데이트용으로 좋아요	1
덮밥에 고기는 쥐꼬리만큼 있고 양파만 산더미처럼 쌓여있음 고기 덮밥이 아니라 양파 덮밥임	0
전체적으로 깔끔하고 음식도 맛있고 분위기도 좋아서 데이트하기 너무 좋은 곳이예요	1
음식이 너무 예쁘고 맛나요. 데이트하기 좋고 연말 모임도 좋아요. 추천합니다.	1
매장 안이 너무 더워서 땀 흘리면서 밥 먹음 에어컨 틀어달라니까 전기세 아까운지 빵빵하게 안 틀어줌	0
아내가 임신 중에 샌드위치가 너무 먹고 싶대서 포장해갔는데 채소도 신선하고 소스가 진짜 맛있다고 감동하네요 ㅠㅠ	1
직원분들 넘 친절하고 메뉴 구성 참 좋네요 보물같은 집을 찾앗어요!	1
