review	label
외국인 친구들이랑 같이 갔는데 다들 맛있다고 좋아했어요 친절하게 대해주셔서 감사합니다!	0
대학교 과 모임으로 30명 정도 모였는데 자리 세팅도 완벽하고 사장님 센스가 좋으셔서 즐겁게 놀다 갑니다..	0
도래창이라는 걸 처음 알았습니당, 분위기도 너무 좋고 맛있어서 재방문 할 것 같아요! 번창하세용	0
집 열쇠 어디 뒀는지 몰라서 한참 헤매다 찾고 지친 마음으로 먹은 짜장면인데 왜 이렇게 달콤한지 모르겠네요!!	0
도전해 본 신메뉴 대성공이라 로또 맞은 기분이에요 새로운 맛을 알아가는 재미에 푹 빠졌습니다	1
가격대비 너무 별로에요. 특별한 날이라 방문했는데.. 리뷰보고 갔다가 실망하고 옵니다. 주위다른 한정식보다 비싸지만 특별한게 없어요. 인당 59000원 너무 아까웠어요.ㅜㅜ 인테리어도 싸구려 식당느낌.. 식탁의자 외에 아무것도 없네요. 반찬도 6개고 한냄바 밥 나눠 먹었어요. 다 먹고도 배고팠어요.	0
벨 눌러도 직원들이 서로 미루느라 아무도 안 옴 결국 카운터 가서 주문함 서비스 마인드 최악	0
엄마가 갱년기라 우울해하셔서 모시고 왔는데 너무 좋아하시네요 소녀처럼 웃으시는 모습 보니 제가 더 뿌듯해요 효도 맛집입니다	1
커피가 너무너무 맛있어서 또 방문 했습니다 그리고 직원분들이 너무 친절하셔서 건대에서 데이트해도 꼭 여기만 방문 하는거 같아요 다음에는 빵 부시로 오겠습니다 !!!	0
올드카 동호회 정모라 주차장 넓은 곳 찾다가 발견했는데 사장님이 차 구경도 같이 해주시고 안주도 일품이라 다들 신났네요	0
사는 게 팍팍해서 숨이 턱 막혔는데 시원한 냉면 육수 들이키니 살 것 같네요 가슴속까지 뻥 뚫리는 기분입니다	1
여긴 정말 꼭 와야 하는 집임. 가격도 디게 저렴하고 맛도 완전 잇음. 건대 뒷쪽이라 북적이지 않음. 친구들과 오기 좋기도하고 공간이 분할되어 있어서 대화도 평안함. 다시 오고 싶은 마음 완전 있음 예약하고 오면 하이볼 11	0
세상 사람들 다 나 빼고 죽었으면 좋겠다 싶을 만큼 화난 날이었는데 여기 초밥 한 점에 인류애 충전했습니다.	0
상사한테 깨지고 홧김에 시켰는데 매운 족발 뜯으면서 씹고 뜯고 맛보고 즐기니 스트레스 타파 완료	1
오늘 하루 진짜 힘들었는데 평소 먹어보고싶었던 크레페가게에서 좋아하는거만 잔뜩 추가해서 먹었어요 진짜 맛있고 우울한게 다 없어지는 맛이에요 더 살아갈 힘을 얻었어요 피넛버터 짱 맛있어요!!!	1
시험 범위 잘못 알아서 헛공부하고 자괴감 들었는데 달달한 초코 와플 먹으면서 다시 시작할 용기를 얻고 가요.	0
여기 딸기파이랑 슈크림크로와상 진짜 맛있어욤 해외로 유학 가게되서 내일 출국인데 마지막으로 먹고시픈 디저트로 여기 딸기파이 고를정도로 맛잇었음 사장님도 친절하세용 천천동 빵집은 여기가 젤 괜찮은거같아요	1
우산 들고 나왔는데 갑자기 우산살 부러져서 비 다 맞고 짜증 났는데 바삭한 돈가스 먹고 기분 다시 상쾌해졌습니다.	0
친구랑 싸우고 화해의 장소로 잡았는데 맛있는 거 먹다 보니 자연스럽게 풀렸어요 평화 유지군 맛집	1
우연히 오게됐는데 음식도 맛있고 모두 너무 친절하셔서 술이술술 재방문할께요	0
칼칼한 찌개 국물 한 숟가락에 꽉 막힌 속이 뻥 뚫리네요 답답했던 가슴이 시원해지는 맛입니다	1
아주아주 맛있어용 느끼하지않고 좋습니당	0
직접 잘 구워 주시고 고기도 너무 맛있어요!	0
돈까스 너무 눅눅하고요. 모밀은 짜요 사장님 깍두기 더 달라하니 싫은티 내시고, 영수증 달라고하니 주문하고 바로 얘기하라고 짜증내셨어요 다시는 안가려고요	0
이번에 새로 창단한 축구팀 창단식 하려고 대관했는데 공간이 넓어서 유니폼 입고 다 같이 사진 찍기에도 너무 좋았어요	0
친구네 커플 추천으로 방문했어요 세트 구성 하나하나 버릴 거 없이 다 너무 맛있어요! 점원분이랑 사장님도 친절하셔서 기분 좋았습니다 나중에 친구들 더 데리고 올거에요!!	0
층간소음 때문에 며칠째 잠 설쳐서 예민했는데 진한 돈코츠 라멘 먹고 든든해지니까 마음이 좀 너그러워졌습니다!!	0
